Suseo_h,Suseo_m,Dongchan_h,Dongchan_m,Jiji_h,Jiji_m,Cheonan(Asan)_h,Cheonan(Asan)_m,Osong_h,Osong_m,Daejeon_h,Daejeon_m,Gimcheon(Gumi)_h,Gimcheon(Gumi)_m,Dongdaegu_h,Dongdaegu_m,ShinKyungju_h,ShinKyungju_m,Ulsan(Tongdosa)_h,Ulsan(Tongdosa)_m,Busan_h,Busan_m,Gongju_h,Gongju_m,Iksan_h,Iksan_m,Jeong-eup_h,Jeong-eup_m,Gwangju(Songje)_h,Gwangju(Songje)_m,Naju_h,Naju_m,Mokpo_h,Mokpo_m
21,43,100,100,100,100,16,58,18,33,12,23,100,100,12,23,21,53,100,100,14,20,100,100,100,100,100,100,100,100,100,100,100,100
22,53,100,100,100,100,17,8,18,53,12,33,100,100,12,33,22,53,100,100,14,37,100,100,100,100,100,100,100,100,100,100,100,100
23,23,100,100,100,100,17,23,19,23,12,53,100,100,12,53,100,100,100,100,14,44,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,17,43,20,53,13,33,100,100,13,33,100,100,100,100,15,38,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,18,24,21,24,13,53,100,100,13,53,100,100,100,100,15,49,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,19,53,22,53,14,23,100,100,14,23,100,100,100,100,16,28,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,20,28,100,100,14,33,100,100,14,33,100,100,100,100,16,49,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,21,3,100,100,14,48,100,100,14,48,100,100,100,100,17,11,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,21,3,100,100,14,48,100,100,14,48,100,100,100,100,17,11,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,21,13,100,100,15,3,100,100,15,3,100,100,100,100,17,19,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,22,38,100,100,15,53,100,100,15,53,100,100,100,100,17,53,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,16,8,100,100,16,8,100,100,100,100,18,2,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,16,23,100,100,16,23,100,100,100,100,18,40,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,16,58,100,100,16,58,100,100,100,100,18,50,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,17,8,100,100,17,8,100,100,100,100,19,2,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,17,23,100,100,17,23,100,100,100,100,19,19,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,17,43,100,100,17,43,100,100,100,100,19,29,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,17,53,100,100,17,53,100,100,100,100,19,45,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,17,53,100,100,17,53,100,100,100,100,19,45,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,18,9,100,100,18,9,100,100,100,100,20,7,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,18,24,100,100,18,24,100,100,100,100,20,13,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,18,33,100,100,18,33,100,100,100,100,20,27,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,18,53,100,100,18,53,100,100,100,100,20,37,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,19,23,100,100,19,23,100,100,100,100,20,51,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,19,38,100,100,19,38,100,100,100,100,21,17,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,19,53,100,100,19,53,100,100,100,100,21,25,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,20,28,100,100,20,28,100,100,100,100,21,48,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,20,53,100,100,20,53,100,100,100,100,22,3,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,20,53,100,100,20,53,100,100,100,100,22,3,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,21,3,100,100,21,3,100,100,100,100,22,17,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,21,13,100,100,21,13,100,100,100,100,23,6,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,21,24,100,100,21,24,100,100,100,100,23,14,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,21,43,100,100,21,43,100,100,100,100,23,36,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,21,53,100,100,21,53,100,100,100,100,23,49,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,22,38,100,100,22,38,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,22,53,100,100,22,53,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,23,23,100,100,23,23,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
