Suseo_h,Suseo_m,Dongchan_h,Dongchan_m,Jiji_h,Jiji_m,Cheonan(Asan)_h,Cheonan(Asan)_m,Osong_h,Osong_m,Daejeon_h,Daejeon_m,Gimcheon(Gumi)_h,Gimcheon(Gumi)_m,Dongdaegu_h,Dongdaegu_m,ShinKyungju_h,ShinKyungju_m,Ulsan(Tongdosa)_h,Ulsan(Tongdosa)_m,Busan_h,Busan_m,Gongju_h,Gongju_m,Iksan_h,Iksan_m,Jeong-eup_h,Jeong-eup_m,Gwangju(Songje)_h,Gwangju(Songje)_m,Naju_h,Naju_m,Mokpo_h,Mokpo_m
5,54,5,54,6,54,5,54,5,54,100,100,100,100,100,100,100,100,100,100,100,100,6,45,100,100,6,12,6,12,6,12,6,12
6,54,6,54,7,38,6,4,6,4,100,100,100,100,100,100,100,100,100,100,100,100,6,45,100,100,6,22,6,22,7,8,6,22
7,38,7,38,11,20,6,25,6,45,100,100,100,100,100,100,100,100,100,100,100,100,6,54,100,100,7,8,6,57,7,42,7,8
8,34,8,34,14,23,6,54,6,45,100,100,100,100,100,100,100,100,100,100,100,100,8,24,100,100,7,32,7,8,7,57,7,42
9,14,9,14,16,24,7,15,6,54,100,100,100,100,100,100,100,100,100,100,100,100,8,34,100,100,7,42,7,42,9,4,7,57
10,44,10,44,20,13,7,38,8,24,100,100,100,100,100,100,100,100,100,100,100,100,8,58,100,100,7,57,7,57,9,35,9,4
11,20,13,29,22,35,8,58,8,34,100,100,100,100,100,100,100,100,100,100,100,100,11,49,100,100,9,4,8,44,10,33,9,35
11,49,15,15,100,100,9,14,8,58,100,100,100,100,100,100,100,100,100,100,100,100,11,59,100,100,9,35,9,4,11,0,10,33
13,29,16,24,100,100,9,39,9,5,100,100,100,100,100,100,100,100,100,100,100,100,13,38,100,100,9,47,9,35,11,34,11,0
14,23,17,4,100,100,11,20,9,39,100,100,100,100,100,100,100,100,100,100,100,100,15,3,100,100,9,50,9,50,11,51,11,34
14,23,17,4,100,100,11,20,9,39,100,100,100,100,100,100,100,100,100,100,100,100,15,3,100,100,9,50,9,50,11,51,11,34
15,15,17,57,100,100,11,59,10,44,100,100,100,100,100,100,100,100,100,100,100,100,15,15,100,100,10,33,10,29,12,5,11,51
16,24,19,4,100,100,12,16,12,16,100,100,100,100,100,100,100,100,100,100,100,100,15,45,100,100,11,23,10,33,13,33,12,5
17,4,20,13,100,100,12,16,12,16,100,100,100,100,100,100,100,100,100,100,100,100,15,45,100,100,11,34,11,0,13,41,13,33
17,57,20,59,100,100,13,38,13,45,100,100,100,100,100,100,100,100,100,100,100,100,16,38,100,100,11,51,11,34,14,19,13,41
19,4,23,43,100,100,13,45,14,9,100,100,100,100,100,100,100,100,100,100,100,100,17,4,100,100,12,5,11,45,14,43,13,53
20,13,100,100,100,100,14,23,14,23,100,100,100,100,100,100,100,100,100,100,100,100,17,13,100,100,12,33,11,51,14,50,14,19
